iter	Passed	Remaining
738	17356	6129
739	17376	6105
740	17398	6081
741	17422	6057
742	17448	6035
743	17476	6013
744	17500	5990
745	17521	5965
746	17541	5941
747	17561	5916
748	17585	5893
749	17606	5868
750	17630	5845
751	17651	5821
752	17671	5796
753	17692	5772
754	17713	5748
755	17734	5723
756	17754	5699
757	17775	5674
758	17796	5650
759	17818	5626
760	17841	5603
761	17865	5580
762	17887	5556
763	17907	5531
764	17930	5507
765	17998	5498
766	18028	5476
767	18051	5453
768	18075	5429
769	18100	5406
770	18123	5383
771	18147	5359
772	18169	5335
773	18189	5311
774	18213	5287
775	18232	5263
776	18253	5238
777	18276	5215
778	18301	5191
779	18325	5168
780	18351	5146
781	18375	5122
782	18403	5100
783	18428	5077
784	18453	5054
785	18481	5031
786	18511	5010
787	18537	4987
788	18559	4963
789	18584	4940
790	18611	4917
791	18639	4895
792	18669	4873
793	18695	4850
794	18719	4826
795	18741	4803
796	18764	4779
797	18791	4756
798	18823	4735
799	18853	4713
800	18879	4690
801	18909	4668
802	18941	4646
803	18973	4625
804	19003	4603
805	19033	4581
806	19062	4558
807	19104	4539
808	19150	4521
809	19193	4502
810	19233	4482
811	19277	4463
812	19326	4445
813	19375	4427
814	19441	4413
815	19496	4396
816	19553	4379
817	19606	4362
818	19651	4342
819	19704	4325
820	19773	4311
821	19835	4295
822	19895	4278
823	19947	4260
824	19998	4242
825	20038	4221
826	20093	4203
827	20146	4184
828	20198	4166
829	20250	4147
830	20301	4128
831	20344	4107
832	20396	4089
833	20461	4072
834	20518	4054
835	20558	4033
836	20612	4014
837	20643	3990
838	20674	3967
839	20702	3943
840	20733	3919
841	20767	3897
842	20801	3874
843	20832	3850
844	20860	3826
845	20889	3802
846	20919	3778
847	20954	3756
848	20983	3732
849	21012	3708
850	21044	3684
851	21074	3660
852	21106	3637
853	21136	3613
854	21167	3589
855	21200	3566
856	21229	3542
857	21260	3518
858	21289	3494
859	21316	3470
860	21348	3446
861	21375	3422
862	21409	3398
863	21440	3374
864	21471	3351
865	21500	3326
866	21531	3303
867	21559	3278
868	21586	3254
869	21610	3229
870	21635	3204
871	21660	3179
872	21686	3154
873	21715	3130
874	21739	3105
875	21766	3081
876	21789	3055
877	21813	3030
878	21836	3005
879	21866	2981
880	21893	2957
881	21915	2931
882	21940	2907
883	21969	2882
884	21996	2858
885	22024	2833
886	22050	2809
887	22076	2784
888	22102	2759
889	22130	2735
890	22155	2710
891	22182	2685
892	22211	2661
893	22235	2636
894	22263	2611
895	22289	2587
896	22313	2562
897	22338	2537
898	22360	2512
899	22386	2487
900	22413	2462
901	22442	2438
902	22470	2413
903	22496	2389
904	22523	2364
905	22550	2339
906	22577	2314
907	22604	2290
908	22633	2265
909	22661	2241
910	22689	2216
911	22715	2191
912	22742	2167
913	22769	2142
914	22797	2117
915	22825	2093
916	22851	2068
917	22878	2043
918	22908	2019
919	22936	1994
920	22963	1969
921	22990	1944
922	23012	1919
923	23038	1894
924	23065	1870
925	23089	1845
926	23114	1820
927	23138	1795
928	23159	1770
929	23181	1744
930	23202	1719
931	23225	1694
932	23249	1669
933	23272	1644
934	23296	1619
935	23318	1594
936	23340	1569
937	23362	1544
938	23386	1519
939	23410	1494
940	23439	1469
941	23461	1444
942	23485	1419
943	23504	1394
944	23528	1369
945	23551	1344
946	23572	1319
947	23594	1294
948	23615	1269
949	23637	1244
950	23657	1218
951	23680	1193
952	23701	1168
953	23721	1143
954	23744	1118
955	23766	1093
956	23789	1068
957	23811	1043
958	23835	1019
959	23856	994
960	23878	969
961	23898	944
962	23918	918
963	23939	894
964	23960	869
965	23979	843
966	24000	819
967	24022	794
968	24043	769
969	24064	744
970	24086	719
971	24107	694
972	24126	669
973	24149	644
974	24171	619
975	24193	594
976	24213	570
977	24233	545
978	24253	520
979	24279	495
980	24309	470
